"Institute","InstrLevel","AfAmF","AfAmM","AIANF","AIANM","AsianF","AsianM","HispF","HispM","NHOPIF","NHOPIM","WhF","WhM","MultF","MultM","NRAF","NRAM","UnkF","UnkM","AllF","AllM","GenderNoneTotal","AllTotal","SortNum","empty","Year"
"Roosevelt University","Total","1,108","366","3","4","232","139","549","266","5","2","2,056","1,222","155","67","169","114","95","68","4,372","2,248","0","6,620","4","","2011"
"Rosalind Franklin University of Medicine &amp; Science","Undergraduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","2011"
"Rosalind Franklin University of Medicine &amp; Science","Graduate","49","34","4","3","151","147","25","22","0","0","523","407","52","43","23","14","267","262","1,094","932","0","2,026","2","","2011"
"Rosalind Franklin University of Medicine &amp; Science","Total","49","34","4","3","151","147","25","22","0","0","523","407","52","43","23","14","267","262","1,094","932","0","2,026","4","","2011"
"Rush University","Undergraduate","10","5","1","0","15","12","6","4","0","0","34","11","0","0","0","0","0","0","66","32","0","98","1","","2011"
"Rush University","Graduate","89","26","2","1","193","89","91","36","2","4","1,085","322","27","3","0","0","32","18","1,521","499","0","2,020","2","","2011"
"Rush University","Total","99","31","3","1","208","101","97","40","2","4","1,119","333","27","3","0","0","32","18","1,587","531","0","2,118","4","","2011"
"School of the Art Inst. Chicago","Undergraduate","56","34","11","3","225","86","94","56","3","2","906","496","36","9","370","110","60","19","1,761","815","0","2,576","1","","2011"
"School of the Art Inst. Chicago","Graduate","17","5","1","0","29","10","23","13","1","1","305","146","16","10","103","33","12","9","507","227","0","734","2","","2011"
"School of the Art Inst. Chicago","Total","73","39","12","3","254","96","117","69","4","3","1,211","642","52","19","473","143","72","28","2,268","1,042","0","3,310","4","","2011"
"Shimer College","Undergraduate","1","1","0","0","3","2","3","2","0","0","46","52","3","6","0","0","5","3","61","66","0","127","1","","2011"
"Shimer College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2011"
"Shimer College","Total","1","1","0","0","3","2","3","2","0","0","46","52","3","6","0","0","5","3","61","66","0","127","4","","2011"
"Spertus Institute for Jewish Learning and Leadership","Undergraduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","2011"
"Spertus Institute for Jewish Learning and Leadership","Graduate","90","20","0","0","0","2","1","2","0","0","112","53","0","0","0","0","10","0","213","77","0","290","2","","2011"
"Spertus Institute for Jewish Learning and Leadership","Total","90","20","0","0","0","2","1","2","0","0","112","53","0","0","0","0","10","0","213","77","0","290","4","","2011"
"St. Johns College","Undergraduate","4","0","0","0","1","0","1","0","0","0","87","11","1","0","0","1","5","0","99","12","0","111","1","","2011"
"St. Johns College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2011"
"St. Johns College","Total","4","0","0","0","1","0","1","0","0","0","87","11","1","0","0","1","5","0","99","12","0","111","4","","2011"
"St. Sava Serb. Orth. Sch. Theo.","Undergraduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27","0","0","0","27","0","27","1","","2011"
"St. Sava Serb. Orth. Sch. Theo.","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2011"
"St. Sava Serb. Orth. Sch. Theo.","Total","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27","0","0","0","27","0","27","4","","2011"
"St. Xavier University","Undergraduate","386","132","7","7","42","25","341","162","0","0","1,077","521","41","21","5","4","150","72","2,049","944","0","2,993","1","","2011"
"St. Xavier University","Graduate","241","66","7","2","27","12","69","32","1","0","843","259","18","6","3","10","93","27","1,302","414","0","1,716","2","","2011"
"St. Xavier University","Total","627","198","14","9","69","37","410","194","1","0","1,920","780","59","27","8","14","243","99","3,351","1,358","0","4,709","4","","2011"
"The Chicago Institute for Psychoanalysis","Undergraduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","2011"
"The Chicago Institute for Psychoanalysis","Graduate","2","1","0","0","3","2","4","1","0","0","33","12","0","0","0","0","2","0","44","16","0","60","2","","2011"
"The Chicago Institute for Psychoanalysis","Total","2","1","0","0","3","2","4","1","0","0","33","12","0","0","0","0","2","0","44","16","0","60","4","","2011"
"The John Marshall Law School","Undergraduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","2011"
"The John Marshall Law School","Graduate","98","50","10","5","51","57","55","55","1","2","495","657","2","0","22","18","44","52","778","896","0","1,674","2","","2011"
"The John Marshall Law School","Total","98","50","10","5","51","57","55","55","1","2","495","657","2","0","22","18","44","52","778","896","0","1,674","4","","2011"
"Trinity Christian College","Undergraduate","98","41","4","1","14","8","79","34","3","0","715","390","9","3","15","14","25","17","962","508","0","1,470","1","","2011"
"Trinity Christian College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2011"
"Trinity Christian College","Total","98","41","4","1","14","8","79","34","3","0","715","390","9","3","15","14","25","17","962","508","0","1,470","4","","2011"
"Trinity College of Nursing &amp; Health Sciences","Undergraduate","10","1","0","0","2","5","12","1","0","0","160","19","2","0","0","0","8","2","194","28","0","222","1","","2011"
"Trinity College of Nursing &amp; Health Sciences","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2011"
"Trinity College of Nursing &amp; Health Sciences","Total","10","1","0","0","2","5","12","1","0","0","160","19","2","0","0","0","8","2","194","28","0","222","4","","2011"
"Trinity International University","Undergraduate","98","79","0","1","15","10","28","46","0","0","297","295","4","8","5","5","57","46","504","490","0","994","1","","2011"
"Trinity International University","Graduate","38","35","3","0","16","67","10","17","0","0","166","456","0","0","34","113","138","353","405","1,041","0","1,446","2","","2011"
"Trinity International University","Total","136","114","3","1","31","77","38","63","0","0","463","751","4","8","39","118","195","399","909","1,531","0","2,440","4","","2011"
"Univ. of St. Mary of the Lake","Undergraduate","0","0","0","0","0","0","0","1","0","0","0","24","0","0","0","2","0","0","0","27","0","27","1","","2011"
"Univ. of St. Mary of the Lake","Graduate","1","1","0","0","1","4","1","11","0","0","10","101","0","0","0","61","0","0","13","178","0","191","2","","2011"
"Univ. of St. Mary of the Lake","Total","1","1","0","0","1","4","1","12","0","0","10","125","0","0","0","63","0","0","13","205","0","218","4","","2011"
"University of Chicago","Undergraduate","151","101","3","8","477","435","168","180","1","2","1,050","1,286","209","123","241","275","307","385","2,607","2,795","0","5,402","1","","2011"
"University of Chicago","Graduate","218","196","12","7","388","551","113","184","0","0","1,683","2,584","152","144","812","1,625","444","464","3,822","5,755","0","9,577","2","","2011"
"University of Chicago","Total","369","297","15","15","865","986","281","364","1","2","2,733","3,870","361","267","1,053","1,900","751","849","6,429","8,550","0","14,979","4","","2011"
"University of St. Francis","Undergraduate","83","65","1","1","26","7","147","69","4","1","1,014","346","16","23","9","8","0","2","1,300","522","0","1,822","1","","2011"
"University of St. Francis","Graduate","114","22","2","0","23","14","79","26","3","0","915","220","13","4","23","6","26","9","1,198","301","0","1,499","2","","2011"
"University of St. Francis","Total","197","87","3","1","49","21","226","95","7","1","1,929","566","29","27","32","14","26","11","2,498","823","0","3,321","4","","2011"
"Urbana Theological Seminary","Undergraduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","2011"
"Urbana Theological Seminary","Graduate","1","1","0","0","1","6","0","0","0","0","12","16","0","0","0","0","0","1","14","24","0","38","2","","2011"
"Urbana Theological Seminary","Total","1","1","0","0","1","6","0","0","0","0","12","16","0","0","0","0","0","1","14","24","0","38","4","","2011"
"VanderCook College of Music","Undergraduate","2","8","0","0","1","1","5","11","0","0","58","45","1","0","3","2","17","27","87","94","0","181","1","","2011"
"VanderCook College of Music","Graduate","4","3","0","0","1","0","0","0","0","0","33","18","0","0","1","0","77","50","116","71","0","187","2","","2011"
"VanderCook College of Music","Total","6","11","0","0","2","1","5","11","0","0","91","63","1","0","4","2","94","77","203","165","0","368","4","","2011"
"Ambria College of Nursing","Undergraduate","9","0","0","0","16","4","4","0","1","0","8","0","0","0","0","0","0","0","38","4","0","42","1","","2011"
"Ambria College of Nursing","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2011"
"Ambria College of Nursing","Total","9","0","0","0","16","4","4","0","1","0","8","0","0","0","0","0","0","0","38","4","0","42","4","","2011"
"American InterContinental University","Undergraduate","3,810","1,640","104","55","95","60","710","378","68","34","4,275","2,254","546","261","1","2","250","143","9,859","4,827","0","14,686","1","","2011"
"American InterContinental University","Graduate","631","268","6","5","21","11","76","53","3","1","360","243","65","36","1","0","48","24","1,211","641","0","1,852","2","","2011"
"American InterContinental University","Total","4,441","1,908","110","60","116","71","786","431","71","35","4,635","2,497","611","297","2","2","298","167","11,070","5,468","0","16,538","4","","2011"
"Chamberlain University","Undergraduate","127","18","2","0","204","56","203","11","23","4","589","57","17","6","1","2","33","3","1,199","157","0","1,356","1","","2011"
"Chamberlain University","Graduate","234","7","4","1","26","6","33","3","7","1","769","57","17","1","6","1","165","7","1,261","84","0","1,345","2","","2011"
"Chamberlain University","Total","361","25","6","1","230","62","236","14","30","5","1,358","114","34","7","7","3","198","10","2,460","241","0","2,701","4","","2011"
"Coyne College","Undergraduate","133","294","0","0","1","3","17","148","1","0","8","70","6","12","2","1","0","0","168","528","0","696","1","","2011"
"Coyne College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2011"
"Coyne College","Total","133","294","0","0","1","3","17","148","1","0","8","70","6","12","2","1","0","0","168","528","0","696","4","","2011"
"DeVry University (Closed)","Undergraduate","4,039","2,386","81","89","301","424","1,414","1,621","40","59","6,188","7,498","203","189","55","75","1,795","1,302","14,116","13,643","0","27,759","1","","2011"
"DeVry University (Closed)","Graduate","2,185","929","18","25","254","251","432","319","19","9","1,882","1,802","69","34","103","96","688","392","5,650","3,857","0","9,507","2","","2011"
"DeVry University (Closed)","Total","6,224","3,315","99","114","555","675","1,846","1,940","59","68","8,070","9,300","272","223","158","171","2,483","1,694","19,766","17,500","0","37,266","4","","2011"
"Fox College","Undergraduate","34","7","0","0","5","4","105","21","0","0","159","24","7","1","0","0","0","0","310","57","0","367","1","","2011"
"Fox College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2011"
"Fox College","Total","34","7","0","0","5","4","105","21","0","0","159","24","7","1","0","0","0","0","310","57","0","367","4","","2011"
"Kendall College","Undergraduate","420","52","3","1","41","35","218","74","7","3","782","312","19","3","90","61","73","31","1,653","572","0","2,225","1","","2011"
"Kendall College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2011"
"Kendall College","Total","420","52","3","1","41","35","218","74","7","3","782","312","19","3","90","61","73","31","1,653","572","0","2,225","4","","2011"
"Le Cordon Bleu College of Culinary Arts in Chicago","Undergraduate","174","166","0","5","10","19","125","138","1","3","201","270","23","16","0","0","109","129","643","746","0","1,389","1","","2011"
"Le Cordon Bleu College of Culinary Arts in Chicago","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2011"
