"Institute","InstrLevel","AfAmF","AfAmM","AIANF","AIANM","AsianF","AsianM","HispF","HispM","NHOPIF","NHOPIM","WhF","WhM","MultF","MultM","NRAF","NRAM","UnkF","UnkM","AllF","AllM","GenderNoneTotal","AllTotal","SortNum","empty","Year"
"Chicago State University","Undergraduate","1,898","675","4","1","14","17","214","133","0","0","42","43","0","0","13","17","265","126","2,450","1,012","0","3,462","1","","2015"
"Chicago State University","Graduate","523","206","2","1","71","58","61","24","0","0","106","68","0","0","49","88","29","19","841","464","0","1,305","2","","2015"
"Chicago State University","Total","2,421","881","6","2","85","75","275","157","0","0","148","111","0","0","62","105","294","145","3,291","1,476","0","4,767","4","","2015"
"Eastern Illinois University","Undergraduate","839","514","11","5","42","31","254","187","2","2","2,909","1,962","102","66","32","63","111","70","4,302","2,900","0","7,202","1","","2015"
"Eastern Illinois University","Graduate","54","34","2","2","15","4","20","10","0","0","638","322","10","3","72","124","0","8","811","507","0","1,318","2","","2015"
"Eastern Illinois University","Total","893","548","13","7","57","35","274","197","2","2","3,547","2,284","112","69","104","187","111","78","5,113","3,407","0","8,520","4","","2015"
"Governors State University","Undergraduate","995","351","4","3","29","19","273","131","0","2","745","552","53","25","22","24","216","126","2,337","1,233","0","3,570","1","","2015"
"Governors State University","Graduate","643","157","3","0","37","17","123","48","0","1","623","229","29","6","89","262","74","28","1,621","748","0","2,369","2","","2015"
"Governors State University","Total","1,638","508","7","3","66","36","396","179","0","3","1,368","781","82","31","111","286","290","154","3,958","1,981","0","5,939","4","","2015"
"Illinois State University","Undergraduate","836","591","11","8","235","188","976","760","11","4","7,700","6,432","271","222","49","68","26","39","10,115","8,312","0","18,427","1","","2015"
"Illinois State University","Graduate","75","40","1","2","23","8","75","36","1","0","1,200","606","23","11","125","134","12","8","1,535","845","0","2,380","2","","2015"
"Illinois State University","Total","911","631","12","10","258","196","1,051","796","12","4","8,900","7,038","294","233","174","202","38","47","11,650","9,157","0","20,807","4","","2015"
"Northeastern Illinois University","Undergraduate","480","334","14","4","378","378","1,775","1,238","13","13","1,404","1,290","80","59","218","163","137","117","4,499","3,596","0","8,095","1","","2015"
"Northeastern Illinois University","Graduate","95","60","3","3","67","43","182","99","1","0","588","372","22","10","92","84","48","27","1,098","698","0","1,796","2","","2015"
"Northeastern Illinois University","Total","575","394","17","7","445","421","1,957","1,337","14","13","1,992","1,662","102","69","310","247","185","144","5,597","4,294","0","9,891","4","","2015"
"Northern Illinois University","Undergraduate","1,369","1,019","12","11","306","447","1,158","1,152","9","10","4,080","4,486","273","249","121","200","62","63","7,390","7,637","0","15,027","1","","2015"
"Northern Illinois University","Graduate","178","127","1","2","109","123","201","139","2","1","1,819","1,362","54","45","326","564","28","22","2,718","2,385","0","5,103","2","","2015"
"Northern Illinois University","Total","1,547","1,146","13","13","415","570","1,359","1,291","11","11","5,899","5,848","327","294","447","764","90","85","10,108","10,022","0","20,130","4","","2015"
"Southern Illinois University Carbondale","Undergraduate","1,387","1,083","12","17","73","138","498","597","5","7","3,607","4,625","195","198","172","409","4","4","5,953","7,078","0","13,031","1","","2015"
"Southern Illinois University Carbondale","Graduate","279","141","4","4","54","56","75","95","1","0","1,265","1,198","48","41","394","597","5","4","2,125","2,136","0","4,261","2","","2015"
"Southern Illinois University Carbondale","Total","1,666","1,224","16","21","127","194","573","692","6","7","4,872","5,823","243","239","566","1,006","9","8","8,078","9,214","0","17,292","4","","2015"
"Southern Illinois University Edwardsville","Undergraduate","1,151","644","12","18","101","95","265","217","6","6","4,414","4,180","209","164","64","90","66","79","6,288","5,493","0","11,781","1","","2015"
"Southern Illinois University Edwardsville","Graduate","129","58","1","0","42","28","30","25","2","0","1,074","656","34","19","115","155","50","66","1,477","1,007","0","2,484","2","","2015"
"Southern Illinois University Edwardsville","Total","1,280","702","13","18","143","123","295","242","8","6","5,488","4,836","243","183","179","245","116","145","7,765","6,500","0","14,265","4","","2015"
"U of I at Chicago","Undergraduate","876","547","6","9","1,850","2,044","2,650","2,307","12","23","2,799","3,124","238","232","266","297","108","187","8,805","8,770","0","17,575","1","","2015"
"U of I at Chicago","Graduate","620","240","7","4","837","600","660","419","11","3","3,082","1,959","131","94","1,053","1,507","148","98","6,549","4,924","0","11,473","2","","2015"
"U of I at Chicago","Total","1,496","787","13","13","2,687","2,644","3,310","2,726","23","26","5,881","5,083","369","326","1,319","1,804","256","285","15,354","13,694","0","29,048","4","","2015"
"U of I at Springfield","Undergraduate","281","170","3","3","49","59","120","78","3","0","872","963","55","28","77","82","31","63","1,491","1,446","0","2,937","1","","2015"
"U of I at Springfield","Graduate","112","66","4","2","42","56","25","46","0","0","577","559","17","10","308","577","23","41","1,108","1,357","0","2,465","2","","2015"
"U of I at Springfield","Total","393","236","7","5","91","115","145","124","3","0","1,449","1,522","72","38","385","659","54","104","2,599","2,803","0","5,402","4","","2015"
"U of I at Urbana/Champaign","Undergraduate","1,045","756","9","13","2,307","3,450","1,529","1,604","7","18","7,093","8,812","450","500","2,124","3,395","75","181","14,639","18,729","0","33,368","1","","2015"
"U of I at Urbana/Champaign","Graduate","281","172","12","8","344","426","293","256","5","3","2,699","2,559","106","100","2,099","2,806","155","150","5,994","6,480","0","12,474","2","","2015"
"U of I at Urbana/Champaign","Total","1,326","928","21","21","2,651","3,876","1,822","1,860","12","21","9,792","11,371","556","600","4,223","6,201","230","331","20,633","25,209","0","45,842","4","","2015"
"Black Hawk College","Undergraduate","237","195","7","2","71","34","419","256","4","1","2,117","1,512","116","69","10","10","28","29","3,009","2,108","0","5,117","1","","2015"
"Black Hawk College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"Black Hawk College","Total","237","195","7","2","71","34","419","256","4","1","2,117","1,512","116","69","10","10","28","29","3,009","2,108","0","5,117","4","","2015"
"Carl Sandburg College","Undergraduate","58","54","3","0","8","6","75","63","0","1","1,025","558","52","29","0","0","28","27","1,249","738","0","1,987","1","","2015"
"Carl Sandburg College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"Carl Sandburg College","Total","58","54","3","0","8","6","75","63","0","1","1,025","558","52","29","0","0","28","27","1,249","738","0","1,987","4","","2015"
"CCC - Harold Washington College","Undergraduate","1,658","1,044","10","7","380","269","2,174","1,637","3","5","624","494","137","87","152","113","178","121","5,316","3,777","0","9,093","1","","2015"
"CCC - Harold Washington College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"CCC - Harold Washington College","Total","1,658","1,044","10","7","380","269","2,174","1,637","3","5","624","494","137","87","152","113","178","121","5,316","3,777","0","9,093","4","","2015"
"CCC - Harry S Truman College","Undergraduate","870","520","8","4","314","227","858","593","7","5","553","476","66","63","63","50","119","73","2,858","2,011","0","4,869","1","","2015"
"CCC - Harry S Truman College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"CCC - Harry S Truman College","Total","870","520","8","4","314","227","858","593","7","5","553","476","66","63","63","50","119","73","2,858","2,011","0","4,869","4","","2015"
"CCC - Kennedy-King College","Undergraduate","1,502","876","4","3","15","8","170","158","1","0","49","35","48","39","15","5","67","28","1,871","1,152","0","3,023","1","","2015"
"CCC - Kennedy-King College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"CCC - Kennedy-King College","Total","1,502","876","4","3","15","8","170","158","1","0","49","35","48","39","15","5","67","28","1,871","1,152","0","3,023","4","","2015"
"CCC - Malcolm X College","Undergraduate","1,784","589","2","2","76","46","1,047","435","1","2","147","102","68","28","9","5","101","40","3,235","1,249","0","4,484","1","","2015"
"CCC - Malcolm X College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"CCC - Malcolm X College","Total","1,784","589","2","2","76","46","1,047","435","1","2","147","102","68","28","9","5","101","40","3,235","1,249","0","4,484","4","","2015"
"CCC - Olive-Harvey College","Undergraduate","1,037","592","1","1","24","107","201","127","1","0","32","82","35","17","0","3","29","43","1,360","972","0","2,332","1","","2015"
"CCC - Olive-Harvey College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"CCC - Olive-Harvey College","Total","1,037","592","1","1","24","107","201","127","1","0","32","82","35","17","0","3","29","43","1,360","972","0","2,332","4","","2015"
"CCC - Richard J. Daley College","Undergraduate","697","419","2","3","19","24","1,550","1,144","3","3","137","383","29","26","1","3","59","55","2,497","2,060","0","4,557","1","","2015"
"CCC - Richard J. Daley College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"CCC - Richard J. Daley College","Total","697","419","2","3","19","24","1,550","1,144","3","3","137","383","29","26","1","3","59","55","2,497","2,060","0","4,557","4","","2015"
"CCC - Wilbur Wright College","Undergraduate","478","294","10","3","260","287","2,694","1,955","12","12","1,068","839","65","73","50","45","117","110","4,754","3,618","0","8,372","1","","2015"
"CCC - Wilbur Wright College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"CCC - Wilbur Wright College","Total","478","294","10","3","260","287","2,694","1,955","12","12","1,068","839","65","73","50","45","117","110","4,754","3,618","0","8,372","4","","2015"
"College of DuPage","Undergraduate","1,104","848","39","20","1,169","1,177","2,706","2,209","23","31","7,539","7,391","285","280","127","87","500","491","13,492","12,534","0","26,026","1","","2015"
"College of DuPage","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"College of DuPage","Total","1,104","848","39","20","1,169","1,177","2,706","2,209","23","31","7,539","7,391","285","280","127","87","500","491","13,492","12,534","0","26,026","4","","2015"
"College of Lake County","Undergraduate","543","393","10","10","382","354","2,317","1,910","11","14","3,213","2,992","166","186","0","0","396","320","7,038","6,179","0","13,217","1","","2015"
"College of Lake County","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"College of Lake County","Total","543","393","10","10","382","354","2,317","1,910","11","14","3,213","2,992","166","186","0","0","396","320","7,038","6,179","0","13,217","4","","2015"
"Danville Area Community College","Undergraduate","212","187","3","4","19","12","56","79","2","1","1,083","807","9","10","0","0","103","102","1,487","1,202","0","2,689","1","","2015"
"Danville Area Community College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"Danville Area Community College","Total","212","187","3","4","19","12","56","79","2","1","1,083","807","9","10","0","0","103","102","1,487","1,202","0","2,689","4","","2015"
"Elgin Community College","Undergraduate","231","154","18","13","250","267","1,638","1,343","3","4","2,267","2,189","132","143","12","14","140","131","4,691","4,258","0","8,949","1","","2015"
"Elgin Community College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"Elgin Community College","Total","231","154","18","13","250","267","1,638","1,343","3","4","2,267","2,189","132","143","12","14","140","131","4,691","4,258","0","8,949","4","","2015"
"Harper College","Undergraduate","321","224","8","7","683","655","1,641","1,308","42","24","3,935","3,627","168","181","28","34","143","151","6,969","6,211","0","13,180","1","","2015"
"Harper College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"Harper College","Total","321","224","8","7","683","655","1,641","1,308","42","24","3,935","3,627","168","181","28","34","143","151","6,969","6,211","0","13,180","4","","2015"
"Heartland Community College","Undergraduate","283","227","4","3","41","46","148","128","3","2","1,959","1,637","100","83","3","8","113","92","2,654","2,226","0","4,880","1","","2015"
"Heartland Community College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"Heartland Community College","Total","283","227","4","3","41","46","148","128","3","2","1,959","1,637","100","83","3","8","113","92","2,654","2,226","0","4,880","4","","2015"
"Highland Community College","Undergraduate","76","59","24","19","8","11","31","18","1","1","904","556","36","26","0","0","20","13","1,100","703","0","1,803","1","","2015"
"Highland Community College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"Highland Community College","Total","76","59","24","19","8","11","31","18","1","1","904","556","36","26","0","0","20","13","1,100","703","0","1,803","4","","2015"
"Illinois Central College","Undergraduate","616","365","18","15","113","108","211","177","6","9","4,012","3,456","136","108","0","1","9","13","5,121","4,252","0","9,373","1","","2015"
"Illinois Central College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"Illinois Central College","Total","616","365","18","15","113","108","211","177","6","9","4,012","3,456","136","108","0","1","9","13","5,121","4,252","0","9,373","4","","2015"
"Illinois Eastern - Frontier","Undergraduate","4","7","4","3","5","3","9","12","0","0","1,294","766","14","8","0","0","5","2","1,335","801","0","2,136","1","","2015"
"Illinois Eastern - Frontier","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"Illinois Eastern - Frontier","Total","4","7","4","3","5","3","9","12","0","0","1,294","766","14","8","0","0","5","2","1,335","801","0","2,136","4","","2015"
"Illinois Eastern - Lincoln Trail","Undergraduate","14","17","1","1","9","9","8","7","0","0","557","355","14","4","0","0","0","1","603","394","0","997","1","","2015"
"Illinois Eastern - Lincoln Trail","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"Illinois Eastern - Lincoln Trail","Total","14","17","1","1","9","9","8","7","0","0","557","355","14","4","0","0","0","1","603","394","0","997","4","","2015"
"Illinois Eastern - Olney Central","Undergraduate","9","7","3","0","7","8","8","3","0","0","718","483","8","9","0","1","2","0","755","511","0","1,266","1","","2015"
"Illinois Eastern - Olney Central","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"Illinois Eastern - Olney Central","Total","9","7","3","0","7","8","8","3","0","0","718","483","8","9","0","1","2","0","755","511","0","1,266","4","","2015"
"Illinois Eastern - Wabash Valley","Undergraduate","18","48","0","7","11","18","11","25","0","0","1,254","2,802","11","33","0","0","3","4","1,308","2,937","0","4,245","1","","2015"
"Illinois Eastern - Wabash Valley","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"Illinois Eastern - Wabash Valley","Total","18","48","0","7","11","18","11","25","0","0","1,254","2,802","11","33","0","0","3","4","1,308","2,937","0","4,245","4","","2015"
"Illinois Valley Community College","Undergraduate","21","30","1","2","23","12","225","143","2","0","1,560","1,117","10","11","0","0","51","50","1,893","1,365","0","3,258","1","","2015"
"Illinois Valley Community College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"Illinois Valley Community College","Total","21","30","1","2","23","12","225","143","2","0","1,560","1,117","10","11","0","0","51","50","1,893","1,365","0","3,258","4","","2015"
"John A. Logan College","Undergraduate","173","149","4","7","26","18","57","45","6","5","1,569","1,174","3","0","0","1","206","131","2,044","1,530","0","3,574","1","","2015"
"John A. Logan College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"John A. Logan College","Total","173","149","4","7","26","18","57","45","6","5","1,569","1,174","3","0","0","1","206","131","2,044","1,530","0","3,574","4","","2015"
"John Wood Community College","Undergraduate","39","32","3","1","15","10","11","21","0","1","1,056","710","25","12","0","5","19","21","1,168","813","0","1,981","1","","2015"
"John Wood Community College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"John Wood Community College","Total","39","32","3","1","15","10","11","21","0","1","1,056","710","25","12","0","5","19","21","1,168","813","0","1,981","4","","2015"
"Joliet Junior College","Undergraduate","778","521","25","40","152","144","1,732","1,402","4","5","4,475","3,959","269","305","4","3","166","145","7,605","6,524","0","14,129","1","","2015"
"Joliet Junior College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"Joliet Junior College","Total","778","521","25","40","152","144","1,732","1,402","4","5","4,475","3,959","269","305","4","3","166","145","7,605","6,524","0","14,129","4","","2015"
"Kankakee Community College","Undergraduate","330","144","6","7","25","7","259","149","1","2","1,320","869","18","17","4","1","70","68","2,033","1,264","0","3,297","1","","2015"
"Kankakee Community College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"Kankakee Community College","Total","330","144","6","7","25","7","259","149","1","2","1,320","869","18","17","4","1","70","68","2,033","1,264","0","3,297","4","","2015"
"Kaskaskia College","Undergraduate","138","189","12","5","14","10","34","46","2","0","2,317","1,575","47","57","4","0","9","13","2,577","1,895","0","4,472","1","","2015"
"Kaskaskia College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"Kaskaskia College","Total","138","189","12","5","14","10","34","46","2","0","2,317","1,575","47","57","4","0","9","13","2,577","1,895","0","4,472","4","","2015"
"Kishwaukee College","Undergraduate","355","258","9","17","37","33","281","221","0","4","1,327","1,158","36","39","0","0","44","51","2,089","1,781","0","3,870","1","","2015"
"Kishwaukee College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"Kishwaukee College","Total","355","258","9","17","37","33","281","221","0","4","1,327","1,158","36","39","0","0","44","51","2,089","1,781","0","3,870","4","","2015"
"Lake Land College","Undergraduate","132","140","5","4","21","18","63","52","1","1","2,545","2,014","32","31","0","0","74","105","2,873","2,365","0","5,238","1","","2015"
"Lake Land College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"Lake Land College","Total","132","140","5","4","21","18","63","52","1","1","2,545","2,014","32","31","0","0","74","105","2,873","2,365","0","5,238","4","","2015"
"Lewis &amp; Clark Community College","Undergraduate","328","272","16","24","40","22","63","56","6","10","3,482","2,842","1","2","0","1","258","312","4,194","3,541","0","7,735","1","","2015"
"Lewis &amp; Clark Community College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"Lewis &amp; Clark Community College","Total","328","272","16","24","40","22","63","56","6","10","3,482","2,842","1","2","0","1","258","312","4,194","3,541","0","7,735","4","","2015"
"Lincoln Land Community College","Undergraduate","394","259","18","9","50","42","121","85","4","7","2,908","2,104","36","34","0","0","242","122","3,773","2,662","0","6,435","1","","2015"
"Lincoln Land Community College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"Lincoln Land Community College","Total","394","259","18","9","50","42","121","85","4","7","2,908","2,104","36","34","0","0","242","122","3,773","2,662","0","6,435","4","","2015"
"McHenry County College","Undergraduate","38","37","3","3","55","47","430","417","5","3","2,197","1,988","57","64","9","3","321","273","3,115","2,835","0","5,950","1","","2015"
"McHenry County College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"McHenry County College","Total","38","37","3","3","55","47","430","417","5","3","2,197","1,988","57","64","9","3","321","273","3,115","2,835","0","5,950","4","","2015"
"Moraine Valley Community College","Undergraduate","736","516","17","30","150","183","1,632","1,445","3","5","3,713","3,668","126","133","106","173","546","644","7,029","6,797","0","13,826","1","","2015"
"Moraine Valley Community College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"Moraine Valley Community College","Total","736","516","17","30","150","183","1,632","1,445","3","5","3,713","3,668","126","133","106","173","546","644","7,029","6,797","0","13,826","4","","2015"
"Morton College","Undergraduate","76","51","0","0","17","23","1,813","1,347","3","1","168","125","9","3","0","0","80","80","2,166","1,630","0","3,796","1","","2015"
"Morton College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"Morton College","Total","76","51","0","0","17","23","1,813","1,347","3","1","168","125","9","3","0","0","80","80","2,166","1,630","0","3,796","4","","2015"
"Oakton Community College","Undergraduate","319","247","9","9","828","930","860","768","29","43","2,515","2,347","134","164","0","0","216","210","4,910","4,718","0","9,628","1","","2015"
"Oakton Community College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"Oakton Community College","Total","319","247","9","9","828","930","860","768","29","43","2,515","2,347","134","164","0","0","216","210","4,910","4,718","0","9,628","4","","2015"
"Parkland College","Undergraduate","589","486","10","22","249","282","263","259","5","5","2,520","2,151","96","94","9","16","434","448","4,175","3,763","0","7,938","1","","2015"
"Parkland College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"Parkland College","Total","589","486","10","22","249","282","263","259","5","5","2,520","2,151","96","94","9","16","434","448","4,175","3,763","0","7,938","4","","2015"
"Prairie State College","Undergraduate","1,542","914","6","5","16","7","354","279","0","0","496","460","57","51","0","0","106","80","2,577","1,796","0","4,373","1","","2015"
"Prairie State College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"Prairie State College","Total","1,542","914","6","5","16","7","354","279","0","0","496","460","57","51","0","0","106","80","2,577","1,796","0","4,373","4","","2015"
"Rend Lake College","Undergraduate","90","57","4","0","14","5","12","11","0","1","1,212","884","0","0","0","1","3","1","1,335","960","0","2,295","1","","2015"
"Rend Lake College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"Rend Lake College","Total","90","57","4","0","14","5","12","11","0","1","1,212","884","0","0","0","1","3","1","1,335","960","0","2,295","4","","2015"
"Richland Community College","Undergraduate","349","126","8","3","17","6","28","14","1","2","1,412","960","48","23","0","0","193","72","2,056","1,206","0","3,262","1","","2015"
"Richland Community College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"Richland Community College","Total","349","126","8","3","17","6","28","14","1","2","1,412","960","48","23","0","0","193","72","2,056","1,206","0","3,262","4","","2015"
"Rock Valley College","Undergraduate","383","240","17","9","119","72","735","520","7","5","2,789","2,321","90","55","17","7","54","69","4,211","3,298","0","7,509","1","","2015"
"Rock Valley College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"Rock Valley College","Total","383","240","17","9","119","72","735","520","7","5","2,789","2,321","90","55","17","7","54","69","4,211","3,298","0","7,509","4","","2015"
"Sauk Valley Community College","Undergraduate","42","38","1","0","7","4","176","82","0","0","925","596","0","0","0","0","16","19","1,167","739","0","1,906","1","","2015"
"Sauk Valley Community College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"Sauk Valley Community College","Total","42","38","1","0","7","4","176","82","0","0","925","596","0","0","0","0","16","19","1,167","739","0","1,906","4","","2015"
"Shawnee Community College","Undergraduate","159","94","2","0","4","6","23","19","0","0","870","545","0","0","0","0","15","20","1,073","684","0","1,757","1","","2015"
"Shawnee Community College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"Shawnee Community College","Total","159","94","2","0","4","6","23","19","0","0","870","545","0","0","0","0","15","20","1,073","684","0","1,757","4","","2015"
"South Suburban Coll. of Cook Co.","Undergraduate","1,847","728","7","5","28","17","452","263","10","5","408","268","58","45","0","0","47","17","2,857","1,348","0","4,205","1","","2015"
"South Suburban Coll. of Cook Co.","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"South Suburban Coll. of Cook Co.","Total","1,847","728","7","5","28","17","452","263","10","5","408","268","58","45","0","0","47","17","2,857","1,348","0","4,205","4","","2015"
"Southeastern Illinois College","Undergraduate","44","46","2","4","5","3","16","12","0","0","1,046","717","33","20","0","3","40","37","1,186","842","0","2,028","1","","2015"
"Southeastern Illinois College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"Southeastern Illinois College","Total","44","46","2","4","5","3","16","12","0","0","1,046","717","33","20","0","3","40","37","1,186","842","0","2,028","4","","2015"
"Southwestern Illinois College","Undergraduate","1,142","730","11","6","51","30","223","182","14","8","3,384","2,904","240","213","1","0","216","174","5,282","4,247","0","9,529","1","","2015"
"Southwestern Illinois College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"Southwestern Illinois College","Total","1,142","730","11","6","51","30","223","182","14","8","3,384","2,904","240","213","1","0","216","174","5,282","4,247","0","9,529","4","","2015"
"Spoon River College","Undergraduate","58","65","4","3","3","6","24","19","0","0","816","519","8","1","0","0","1","2","914","615","0","1,529","1","","2015"
"Spoon River College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"Spoon River College","Total","58","65","4","3","3","6","24","19","0","0","816","519","8","1","0","0","1","2","914","615","0","1,529","4","","2015"
"Triton College","Undergraduate","947","539","9","13","125","124","1,989","1,483","0","0","1,333","1,470","99","56","6","7","661","803","5,169","4,495","0","9,664","1","","2015"
"Triton College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"Triton College","Total","947","539","9","13","125","124","1,989","1,483","0","0","1,333","1,470","99","56","6","7","661","803","5,169","4,495","0","9,664","4","","2015"
"Adler University","Undergraduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","2015"
"Adler University","Graduate","111","23","4","0","28","6","88","19","0","0","462","130","20","8","32","2","37","18","782","206","0","988","2","","2015"
"Adler University","Total","111","23","4","0","28","6","88","19","0","0","462","130","20","8","32","2","37","18","782","206","0","988","4","","2015"
"American Academy of Art","Undergraduate","13","22","0","0","9","6","50","34","0","1","110","61","7","4","0","0","0","0","189","128","0","317","1","","2015"
"American Academy of Art","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"American Academy of Art","Total","13","22","0","0","9","6","50","34","0","1","110","61","7","4","0","0","0","0","189","128","0","317","4","","2015"
"American Islamic College","Undergraduate","2","4","1","0","4","4","0","0","0","0","6","5","0","0","0","0","7","0","20","13","0","33","1","","2015"
"American Islamic College","Graduate","1","4","0","0","0","3","0","0","0","0","2","9","1","0","0","0","2","0","6","16","0","22","2","","2015"
"American Islamic College","Total","3","8","1","0","4","7","0","0","0","0","8","14","1","0","0","0","9","0","26","29","0","55","4","","2015"
"Augustana College","Undergraduate","43","49","2","0","35","16","159","87","0","1","1,077","792","53","36","50","54","12","12","1,431","1,047","0","2,478","1","","2015"
"Augustana College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2015"
"Augustana College","Total","43","49","2","0","35","16","159","87","0","1","1,077","792","53","36","50","54","12","12","1,431","1,047","0","2,478","4","","2015"
"Aurora University","Undergraduate","166","112","8","6","62","26","615","265","1","1","1,262","754","52","45","3","5","125","72","2,294","1,286","0","3,580","1","","2015"
"Aurora University","Graduate","120","38","2","1","22","2","146","42","1","0","1,007","311","14","3","0","0","100","34","1,412","431","0","1,843","2","","2015"
